Tapix's enriched data,,,,,,,,,,,,,,,,,,,,,,
shopUid,merchantUid,name,shopType,categoryName,categoryLogo,tags,street,city ,zip ,country ,coordinatesType,lat,long,url,googlePlaceId,logo,co2FootprintValue,co2FootprintUnit,transactionTimestamp,sourceId,amount,currency
Jz0YV7yEEQBidbZ9BgYRQm,Pzn3vNj75WibKWDm85W83,Post Office,bricks,Professional Services,https://s3.eu-central-1.amazonaws.com/files.node-prod.dateio.cz/category/1483998/l,"{""Delivery Service""}",Unit gg,Manchester,M43AG,GB,rooftop,53.4836624,-2.2430218,https://www.postoffice.co.uk,https://www.google.com/maps/place/?q=place_id:ChIJ5acEituxe0gR4qzhDC_E4Eg,https://s3.eu-central-1.amazonaws.com/files.node-prod.dateio.cz/m/Pzn3vNj75WibKWDm85W83/l,1.25,kg,2024-05-19T12:02:00.321+01:00,0d86c28529444a896312100724a9f9ab52a2f788a8be9cf1909499e3316422eb,5.6,EUR
R8RZXUyOGAHdNjd3nPjTbU,Jrby43bgabXTd0vzgjM5aj,TikTok,online,Professional Services,https://s3.eu-central-1.amazonaws.com/files.node-prod.dateio.cz/category/1483998/l,"{""Shopping Online"",""Online Professional Services""}",,,,IE,,,,https://www.tiktok.com,,https://s3.eu-central-1.amazonaws.com/files.node-prod.dateio.cz/m/Jrby43bgabXTd0vzgjM5aj/l,15.47,kg,2024-03-15T12:15:00.432+01:00,cefabc0211f339f045138cf49d752360a52b0c14ae96defd0eeb64f4edcc6e0a,185.15,EUR
YQe9zgWbzpVSGgng07MyDe,bmg8rDRQglKCaEopAVEjLb,ZARA,bricks,Fashion,https://s3.eu-central-1.amazonaws.com/files.node-prod.dateio.cz/category/150/l,"{""Mens Clothing"",""Womens Clothing"",""Clothing - Other"",""Fashion Chain - Mix""}",Harbour Drive 1,Singapore,98585,SG,rooftop,1.2648601,103.8215723,https://www.zara.com,https://www.google.com/maps/place/?q=place_id:ChIJpUW1vFgZ2jERqoIwjCewMJU,https://s3.eu-central-1.amazonaws.com/files.node-prod.dateio.cz/m/bmg8rDRQglKCaEopAVEjLb/l,22.55,kg,2023-12-25T20:00:00.876+08:00,0f3391675d7fec10d4f9c6efc8c16eb4b88c519f705998bcf0d42475db58957e,26.85,EUR
a4z12jk5nB3SMV7rZ3yn9E,n74P9jvN18LU7mpgYKvVER,7-Eleven,bricks,Groceries,https://s3.eu-central-1.amazonaws.com/files.node-prod.dateio.cz/category/151/l,"{""Groceries - Other""}",Airport Boulevard,Singapore,819643,SG,rooftop,1.3550069,103.9884984,https://www.7-eleven.com,https://www.google.com/maps/place/?q=place_id:ChIJrZAASK0i2jERc1ubvpmwZAM,https://s3.eu-central-1.amazonaws.com/files.node-prod.dateio.cz/m/n74P9jvN18LU7mpgYKvVER/l,3.38,kg,2024-07-29T20:01:00.876+08:00,effdeccfba13d01e1ee66864eec624e20ff24ebab86e2ad182ad04833c4a668a,6.4,EUR
gAebjNrjYLACLebm4lr4rX,barWbzKbLRCooqPrD9oVz,Hilton,bricks,Travel,https://s3.eu-central-1.amazonaws.com/files.node-prod.dateio.cz/category/140/l,"{Accommodations,""Hotels And Guesthouses""}",Avenida Atlântica 1020,Copacabana,22010-000,BR,rooftop,-22.9644008,-43.1732645,https://www.hiltonhotels.com,https://www.google.com/maps/place/?q=place_id:ChIJ4WoecwCAmQARrFYdf5rVxOo,https://s3.eu-central-1.amazonaws.com/files.node-prod.dateio.cz/m/barWbzKbLRCooqPrD9oVz/l,252.98,kg,2024-01-26T09:00:00.789-03:00,598bc5ab0c010536e5763ae26e04cf1d316958fbff787c0736fc8cf6792fdd65,265.2,EUR
HXgdtUlLU1LxFxLjimsmU0,zzWRzM4RXEMFMbrXWb1RAb,PAUL,bricks,Food And Drink,https://s3.eu-central-1.amazonaws.com/files.node-prod.dateio.cz/category/147/l,"{Cafe,""Groceries - Other"",Bakery}",Bulevardul Alexandru Lăpușneanu 116C,Constanța,900419,RO,rooftop,44.2039823,28.63068,https://www.paul.ro,https://www.google.com/maps/place/?q=place_id:ChIJvfLWpQnwukAR8sFwT67tdXY,https://s3.eu-central-1.amazonaws.com/files.node-prod.dateio.cz/m/zzWRzM4RXEMFMbrXWb1RAb/l,3.19,kg,2023-11-22T14:31:00.123+02:00,3c997126cac91d3e097348f5e75b38af76b13de6eb2f0406e326f3765e32470a,24.85,EUR
ekNqpBJZMnDFeaLW5121Nk,AmjZr9goekqtRWn7zBbpy,Sea Life,bricks,Freetime,https://s3.eu-central-1.amazonaws.com/files.node-prod.dateio.cz/category/154/l,"{""Freetime Activity""}",Rama I Road 991,Khet Pathum Wan,10330,TH,rooftop,13.7459351,100.5352057,https://www.visitsealife.com,https://www.google.com/maps/place/?q=place_id:ChIJH4I85c2e4jARUMYLeiqfBd0,https://s3.eu-central-1.amazonaws.com/files.node-prod.dateio.cz/m/AmjZr9goekqtRWn7zBbpy/l,12.85,kg,2023-06-28T19:00:00.654+07:00,02594bacd9b5c8120460fc6cfd64b33b829afb60b9aa7547385ee994ea9fddcc,104.2,EUR
bc6AgvrNSNRXbwL7lcNyfp,DEdEYl7oZmuDre3jebdr7,ALDI,bricks,Groceries,https://s3.eu-central-1.amazonaws.com/files.node-prod.dateio.cz/category/151/l,{Hyper-Supermarket},Pelican Street,Darlinghurst,2010,AU,rooftop,-33.8786829,151.2134869,https://www.aldi.com,https://www.google.com/maps/place/?q=place_id:ChIJo0ALcxeuEmsRh4CDhH8Jz1A,https://s3.eu-central-1.amazonaws.com/files.node-prod.dateio.cz/m/DEdEYl7oZmuDre3jebdr7/l,1.19,kg,2024-11-14T22:00:00.345+10:00,af7f3b06c6a85ead5844bb36b79ac78668d5bcbafc6ce3ac8ec20d86c97ce9ca,2.25,EUR
r8Rzvgy2eN8FLL84nZN5LE,Ad7vLoNvgRzslq9E9E89Pg,Flying Tiger Copenhagen,bricks,Consumer Goods,https://s3.eu-central-1.amazonaws.com/files.node-prod.dateio.cz/category/156/l,"{""Consumer Goods - Mix""}",Avenida Antero de Quental 2,Setúbal,2910-394,PT,rooftop,38.5371933,-8.8757775,https://eu.flyingtiger.com,https://www.google.com/maps/place/?q=place_id:ChIJkwM2tztDGQ0Ry9qXbKvPH2U,https://s3.eu-central-1.amazonaws.com/files.node-prod.dateio.cz/m/Ad7vLoNvgRzslq9E9E89Pg/l,2.03,kg,2023-09-06T11:00:00.123+01:00,3322f983de47d3ba1eaabf48f199d464dc75aa58871b603fc202245416a8df11,6.9,EUR
y5z1EMrRRY8tzAdgjWmPG9,2Y3MoJnWVggIj008BVJG10,Esso,bricks,Car,https://s3.eu-central-1.amazonaws.com/files.node-prod.dateio.cz/category/139/l,"{""Gas Station""}",Wiesbadener Str Nord,Frankfurt/Main,60486,DE,rooftop,50.115623,8.612402,https://www.esso.de,https://www.google.com/maps/place/?q=place_id:ChIJ-2swZH8JvUcR5L_SHsSKhno,https://s3.eu-central-1.amazonaws.com/files.node-prod.dateio.cz/m/2Y3MoJnWVggIj008BVJG10/l,3.3,kg,2024-05-02T14:00:00.456+02:00,fd0b6ac45da59f7f9a485587811254f3c453e5696aee5c75cef09f983fadbee3,2.25,EUR
n4QE8BZLMLzTBgN7DNvaVa,y2bPn0DvN4lfedaaXE4je7,Google Drive,online,Digital Services,https://s3.eu-central-1.amazonaws.com/files.node-prod.dateio.cz/category/1484001/l,"{""Data Storage"",""Shopping Online"",""Online Digital Services""}",,,,,,,,https://drive.google.com,,https://s3.eu-central-1.amazonaws.com/files.node-prod.dateio.cz/m/y2bPn0DvN4lfedaaXE4je7/l,0.41,kg,2023-08-18T07:00:00.789-04:00,f570802a1a141a063ae099aa40789423f01369fcc602726537d9bf72b26690a9,2.02,EUR
GP5MlZGe5EWSYd8BBLvkLo,b4pe5akWDLoh2RQog2vBp8,Domino's Pizza,bricks,Food And Drink,https://s3.eu-central-1.amazonaws.com/files.node-prod.dateio.cz/category/147/l,"{""Restaurant Without A Waiter"",Pizza}",Phố Hàng Gai 5-7,Hanoj,100000,VN,rooftop,21.0322376,105.851203,https://www.dominos.com,https://www.google.com/maps/place/?q=place_id:ChIJucr4Gf2rNTERw6-MAQKaTbQ,https://s3.eu-central-1.amazonaws.com/files.node-prod.dateio.cz/m/b4pe5akWDLoh2RQog2vBp8/l,5.53,kg,2024-04-23T18:00:00.987+07:00,a22e8d55497fcc4b430a14b7a78cea643c42f96b76473291fce83d3bb256e879,9.6,EUR
aB9QATON6XHMTcuKXXJn8M,lQEL9bEB39PinzJlb29Bjl,McDonald's,bricks,Food And Drink,https://s3.eu-central-1.amazonaws.com/files.node-prod.dateio.cz/category/147/l,{Restaurant},Rua Arquitecto Cassiano Barbosa 44,Porto,4100-009,PT,rooftop,41.1660256,-8.6492742,https://www.mcdonalds.pt,https://www.google.com/maps/place/?q=place_id:ChIJgzn7VYVlJA0R0KPC6fc99rs,https://s3.eu-central-1.amazonaws.com/files.node-prod.dateio.cz/m/lQEL9bEB39PinzJlb29Bjl/l,3.35,kg,2023-07-19T11:01:00.123+01:00,fe549b7a5129a8f334cdcf7cae5bec1c02f0597baf7ae0ead28801ab56229928,9.75,EUR
sYhazFZOO0P7uczEkCvoJK,vbbVqvRnzWt3aVgmQzKBW,Under Armour,bricks,Sport,https://s3.eu-central-1.amazonaws.com/files.node-prod.dateio.cz/category/3653021748/l,"{""Sports And Outdoor Equipment""}",Franklin Roosevelt 285,Limassol,3150,CY,rooftop,34.6526987,32.9970406,https://www.underarmour.co.uk/en-gb/change-location,https://www.google.com/maps/place/?q=place_id:ChIJif5tO0sz5xQRe9HKjGkSmUQ,https://s3.eu-central-1.amazonaws.com/files.node-prod.dateio.cz/m/vbbVqvRnzWt3aVgmQzKBW/l,41.85,kg,2024-02-05T15:00:00.234+03:00,1045ecf7f4da7e8c5bd6a7d12bc856e9131b301796cdc94d46aa867f4833a443,89.85,EUR
oUayOT2PZXt5GVFJCccAu6,on0R2dlXR1dsZznDZdDLJq,Melia Hotels,bricks,Travel,https://s3.eu-central-1.amazonaws.com/files.node-prod.dateio.cz/category/140/l,"{Accommodations,""Hotels And Guesthouses""}",Rua C 2,Lisboa,1749-125,PT,rooftop,38.7701895,-9.1250784,https://www.melia.com,https://www.google.com/maps/place/?q=place_id:ChIJ0W8EF0cyGQ0RUIrN6vpABw0,https://s3.eu-central-1.amazonaws.com/files.node-prod.dateio.cz/m/on0R2dlXR1dsZznDZdDLJq/l,0.45,kg,2023-10-29T11:02:00.123+01:00,a4069c5ba4a2f284bef0e7a688c0ca9eb4325929f00eafc57649d2bce727fe37,3.55,EUR
Meyam0oVJJmsG8zgZQMeYm,Xm7GG0ErnrAT3z2N2pXVDv,Marks and Spencer,bricks,Groceries,https://s3.eu-central-1.amazonaws.com/files.node-prod.dateio.cz/category/151/l,"{""Groceries - Other"",""Fashion Chain - Mix""}",Acropoleos 88,Strovolos,2012,CY,rooftop,35.1462609,33.3596278,https://www.marksandspencer.com,https://www.google.com/maps/place/?q=place_id:ChIJq6oaTucZ3hQR5NiAnCOwJ58,https://s3.eu-central-1.amazonaws.com/files.node-prod.dateio.cz/m/Xm7GG0ErnrAT3z2N2pXVDv/l,86.29,kg,2023-09-15T15:01:00.234+03:00,2ecc6bc02301bf03a873df4d09df878ae25fc7b926b77a758a1cdbf54d87a4ae,163.45,EUR
v20BMkjvK3Rs3yJP25dkYg,QeDNzd2abGqCgokBVdEpPk,Ski Dubai,bricks,Sport,https://s3.eu-central-1.amazonaws.com/files.node-prod.dateio.cz/category/3653021748/l,"{""Ski Areal"",""Sports Field""}",Sheikh Zayed Road,Dubai,115443,AE,rooftop,25.117204,55.1983112,https://www.skidxb.com,https://www.google.com/maps/place/?q=place_id:ChIJ____775rXz4Rbvg2X19nuxI,https://s3.eu-central-1.amazonaws.com/files.node-prod.dateio.cz/m/QeDNzd2abGqCgokBVdEpPk/l,109.94,kg,2024-01-12T17:00:00.456+04:00,ce82d21d6dce2e4165d329b0a531931d5a02c7376016135c6310e98fdfd1c351,236.05,EUR
rS4Tk5iRpAqSz8m4jZKucu,0dVM4zpQBNyF5VGamaZaam,LEGO,bricks,Children,https://s3.eu-central-1.amazonaws.com/files.node-prod.dateio.cz/category/141/l,"{Toys,""Childrens Equipment"",Sustainable}",The Dubai Mall - Unit SF 180,Dubai,P. O. BOX 31166,AE,rooftop,25.1957287,55.2804437,https://www.lego.com,https://www.google.com/maps/place/?q=place_id:ChIJsZObwSdoXz4RoBT-RLPcwbo,https://s3.eu-central-1.amazonaws.com/files.node-prod.dateio.cz/m/0dVM4zpQBNyF5VGamaZaam/l,3.67,kg,2023-03-28T17:01:00.456+04:00,c808c881d92bf35e4963f72eb4e225632fb7a1a431d6f8f7a122f7d9029ab418,9.55,EUR
7eVp2pngAg8uV8DEkZWq3b,rDDldbv1WMzsYKNj7bBDBR,Carrefour,bricks,Groceries,https://s3.eu-central-1.amazonaws.com/files.node-prod.dateio.cz/category/151/l,{Hyper-Supermarket},Airport Road,Abu Dhabi,567,AE,rooftop,24.4233437,54.4519536,https://www.carrefouruae.com,https://www.google.com/maps/place/?q=place_id:ChIJiV-p3GtCXj4RI6VcJiaqtb8,https://s3.eu-central-1.amazonaws.com/files.node-prod.dateio.cz/m/rDDldbv1WMzsYKNj7bBDBR/l,55.99,kg,2024-06-05T17:02:00.456+04:00,acdd5b8849834ddc5123d676a9d9e58ffc3edbb36698d2be6e1aed5332a36189,106.05,EUR
znp3EJMnG2mfJZJgrXNge4,vB7YvyGar5mFrWk1qVnkk,dm drogerie,bricks,Drugstore,https://s3.eu-central-1.amazonaws.com/files.node-prod.dateio.cz/category/143/l,{Drugstore},Eichelreuth 21,Grassau,83224,DE,rooftop,47.7800648,12.4713429,https://www.dm.de,https://www.google.com/maps/place/?q=place_id:ChIJSaLeSUJpdkcRiLCaGHQFdcs,https://s3.eu-central-1.amazonaws.com/files.node-prod.dateio.cz/m/vB7YvyGar5mFrWk1qVnkk/l,18.28,kg,2023-11-03T14:01:00.456+02:00,9ab286e46d0d8f366785d3f0657079d5ede2f1b2ed1e8440a5434104e0647877,143.5,EUR
ciho69ZHnShP15YJWuE5WU,Jd48jlqQrm7hmyBag7DMzJ,Italo Treno,bricks,Travel,https://s3.eu-central-1.amazonaws.com/files.node-prod.dateio.cz/category/140/l,"{Train,""Long Distance Transport""}",Piazza Duca d'Aosta 1,Milano,20124,IT,rooftop,45.487137,9.204822,https://www.italotreno.it,https://www.google.com/maps/place/?q=place_id:ChIJQ1j3T8XGhkcRKs-XGhSxJiI,https://s3.eu-central-1.amazonaws.com/files.node-prod.dateio.cz/m/Jd48jlqQrm7hmyBag7DMzJ/l,80.82,kg,2024-12-08T14:30:00.678+02:00,c734952533cd6cb78251f6f58ff34399b7925aba8e5ed0f3228d9f07e762a262,213.75,EUR
bZbo7yloldQtYpeznnrLn5,MbD7BWpL5ZXIBR8PBoamyA,HUMANIC,bricks,Fashion,https://s3.eu-central-1.amazonaws.com/files.node-prod.dateio.cz/category/150/l,"{""Fashion Accessories"",Footwear}",Budai út 1,Győr,9027,HU,rooftop,47.6897087,17.6448009,https://www.humanic.net,https://www.google.com/maps/place/?q=place_id:ChIJkQrGe-q_a0cRLOTigsES-hs,https://s3.eu-central-1.amazonaws.com/files.node-prod.dateio.cz/m/MbD7BWpL5ZXIBR8PBoamyA/l,4.89,kg,2023-01-31T13:46:00.456+01:00,07fac129bf448bea7ada600fb6b53d187f83ba14afa12f6e24fc4111efbb4d2a,9.2,EUR
9WrZnGDMNXguz3eXzK5rGg,W3b37YbepQZc0b1ElvWlaR,Starbucks,bricks,Food And Drink,https://s3.eu-central-1.amazonaws.com/files.node-prod.dateio.cz/category/147/l,{Cafe},Rama I Road 540,Khet Pathum Wan,10330,TH,rooftop,13.7436176,100.5442484,https://www.starbucks.co.th,https://www.google.com/maps/place/?q=place_id:ChIJW2jPHtue4jAR--8dodENRiM,https://s3.eu-central-1.amazonaws.com/files.node-prod.dateio.cz/m/W3b37YbepQZc0b1ElvWlaR/l,0.85,kg,2024-09-07T19:01:00.654+07:00,83f5e3652485d15eac1e177846e7b835e71bd0dff65c8d9bbbc4f0b9e7620f19,4.15,EUR
ekQyMAPjd2DsenBMv8PkXQ,7e8A5naZYkPTJPgvjPyogq,Shell,bricks,Car,https://s3.eu-central-1.amazonaws.com/files.node-prod.dateio.cz/category/139/l,"{""Gas Station""}",Buitenkant Street 130,Cape Town,8001,ZA,rooftop,-33.9328657,18.4193649,https://www.shell.com/change-country.html,https://www.google.com/maps/place/?q=place_id:ChIJDxcqe3lnzB0Rwpt2ugl5_l8,https://s3.eu-central-1.amazonaws.com/files.node-prod.dateio.cz/m/7e8A5naZYkPTJPgvjPyogq/l,168.48,kg,2023-05-30T13:00:00.321+02:00,36fd1464ea3dd63bce9e027da465fdd1bb10a74ae5afb291b2e996e51b021018,80.25,EUR
y2LRoRLNWLPSzbGg0L1JaN,bmg8rDRQglKCaEopAVEjLb,ZARA,bricks,Fashion,https://s3.eu-central-1.amazonaws.com/files.node-prod.dateio.cz/category/150/l,"{""Home Accessories"",""Household Equipment""}",Corso Vittorio Emanuele II 11,Milano,20122,IT,rooftop,45.4655118,9.1953368,https://www.zarahome.com,https://www.google.com/maps/place/?q=place_id:ChIJxy8TjK_GhkcRq6J7sv0IskA,https://s3.eu-central-1.amazonaws.com/files.node-prod.dateio.cz/m/bmg8rDRQglKCaEopAVEjLb/l,7.33,kg,2024-03-25T14:31:00.678+02:00,28c25986db21cc0543ee6d36d03ecbbe6cd83b1b5ca52ea1e2fa761dab96ee32,22,EUR
KqEDcQ2hygyYsZ8i2ybJ3z,0YMveYPRpl4Sbr3MEqq2rX,IQOS,bricks,Consumer Goods,https://s3.eu-central-1.amazonaws.com/files.node-prod.dateio.cz/category/156/l,"{""Tobacco And Smoking Supplies"",""News Stand""}",Franklin Roosevelt 285,Limassol,3150,CY,rooftop,34.6526764,32.9970523,https://iqos.com,https://www.google.com/maps/place/?q=place_id:ChIJNR1rMEoz5xQR9POlPSNSNnw,https://s3.eu-central-1.amazonaws.com/files.node-prod.dateio.cz/m/0YMveYPRpl4Sbr3MEqq2rX/l,18.55,kg,2023-04-27T15:02:00.234+03:00,d70fbcaf9a482134bec0e9fc000dfead7afc1ea837758e7e7af0323784880574,40.1,EUR
RynX5Jb02bKh7rPmlj0dPZ,goJYpWnap5GFXRzzNV8rq8,SOHO Coffee,bricks,Food And Drink,https://s3.eu-central-1.amazonaws.com/files.node-prod.dateio.cz/category/147/l,"{""Restaurant Without A Waiter""}",Aeroporto Internacional de Lisboa,Lisbon,1700-111,PT,rooftop,38.763906,-9.136082,https://sohocoffee.com,https://www.google.com/maps/place/?q=place_id:ChIJfV-OKZIzGQ0RpdxssCc8s_E,https://s3.eu-central-1.amazonaws.com/files.node-prod.dateio.cz/m/goJYpWnap5GFXRzzNV8rq8/l,2.41,kg,2024-10-18T11:03:00.123+01:00,81758840e02e17e27f3f3bc979cc8f72e9ba12a87ff7bae1af6b9f3ead4728d9,6.6,EUR
jghE23Ua3rNi77YrH6qHFw,2YVdX9Yq9KptlMKaLgV9v7,Louis Vuitton,bricks,Fashion,https://s3.eu-central-1.amazonaws.com/files.node-prod.dateio.cz/category/150/l,"{""Fashion Accessories"",Luxury,Handbags,""Leather Haberdashery""}",Calea 13 Septembrie 90,București,50726,RO,rooftop,44.4254929,26.076827,https://www.louisvuitton.com,https://www.google.com/maps/place/?q=place_id:ChIJU4XwrXr_sUAR8iGYIrI_Q64,https://s3.eu-central-1.amazonaws.com/files.node-prod.dateio.cz/m/2YVdX9Yq9KptlMKaLgV9v7/l,1188.07,kg,2023-02-12T14:32:00.123+02:00,4a102e90b62e8a0e3a627f7c1f60d0745f05e9ab9384bd17d9e26711dc6f77d0,2233.2,EUR
MEeVA7YXDjms1zKDGW8jE7,Kr1jj4dQv9Jh2pqP3Vg7yD,ROSSMANN,bricks,Drugstore,https://s3.eu-central-1.amazonaws.com/files.node-prod.dateio.cz/category/143/l,{Drugstore},Paul-Nevermann-Platz 15/16,Hamburg,22765,DE,rooftop,53.5520107,9.935754067,https://www.rossmann.de,https://www.google.com/maps/place/?q=place_id:ChIJaXNKgoiFsUcRDei5_sG_NQA,https://s3.eu-central-1.amazonaws.com/files.node-prod.dateio.cz/m/Kr1jj4dQv9Jh2pqP3Vg7yD/l,1.12,kg,2024-07-22T14:02:00.456+02:00,14340a356f9e90e27e9f5a1e8edd39c374825c73344f921fe0cb30fe0e0891ec,8.8,EUR
